Model,Accuracy,F1 Micro,F1 Macro
Naive Bayes,0.7323943661971831,0.7323943661971831,0.7289531846493873
Logistic Regression,0.7323943661971831,0.7323943661971831,0.7269783444646833
SVM (Linear Kernel),0.7464788732394366,0.7464788732394367,0.7464285714285714
SVM (RBF Kernel),0.704225352112676,0.704225352112676,0.7020979020979021
Random Forest,0.676056338028169,0.676056338028169,0.671890697207153
Gradient Boosting,0.676056338028169,0.676056338028169,0.676056338028169
Decision Tree,0.6338028169014085,0.6338028169014085,0.6319776714513556
